system "Altera "
	hidden
	pos 296 -9840
	government "plugin"
	"jump range" 3000
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 20
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 40
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 60
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 80
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 100
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 120
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 140
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 160
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 180
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 200
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 220
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 240
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 260
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 280
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 300
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 320
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 340
	object "Altera "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 360
planet "Altera "
	description ``
	landscape landscape/station6
	spaceport ``
	shipyard "omnis"
	outfitter "omnis"
	outfitter "mineables"
	shipyard "altera"
	outfitter "altera"
	bribe 0
planet "altera gateway"
	attributes "requires: Omnis"
