system "Algol "
	hidden
	pos -641 -9503
	government "plugin"
	"jump range" 3000
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 20
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 40
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 60
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 80
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 100
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 120
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 140
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 160
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 180
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 200
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 220
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 240
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 260
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 280
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 300
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 320
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 340
	object "Algol "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 360
planet "Algol "
	description ``
	landscape landscape/station6
	spaceport ``
	shipyard "omnis"
	outfitter "omnis"
	outfitter "mineables"
	shipyard "algol"
	outfitter "algol"
	bribe 0
planet "algol gateway"
	attributes "requires: Omnis"
