system "Incipias "
	hidden
	pos 128 -10394
	government "request"
	"jump range" 3000
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 20
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 40
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 60
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 80
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 100
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 120
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 140
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 160
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 180
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 200
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 220
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 240
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 260
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 280
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 300
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 320
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 340
	object "Incipias "
		sprite planet/ringworld
			scale .5
		distance 812
		offset 360
planet "Incipias "
	description ``
	landscape landscape/station6
	spaceport ``
	shipyard "omnis"
	outfitter "omnis"
	outfitter "mineables"
	shipyard "incipias"
	outfitter "incipias"
	bribe 0
planet "incipias gateway"
	attributes "requires: Omnis"
