ship "Bactrian (Jenkized)"
	sprite "ship/bactrian"
	thumbnail "thumbnail/bactrian"
	attributes
		licenses
			City-Ship
		category "Utility"
		"cost" 17600000
		"shields" 17500
		"hull" 8600
		"required crew" 70
		"bunks" 76
		"mass" 940
		"drag" 16.1
		"heat dissipation" .4
		"fuel capacity" 700
		"cargo space" 530
		"outfit space" 740
		"weapon capacity" 300
		"engine capacity" 180
		weapon
			"blast radius" 260
			"shield damage" 2600
			"hull damage" 1300
			"hit force" 3900
	outfits
		"Sidewinder Missile Launcher" 2
		"Sidewinder Missile" 90
		"Torpedo Launcher" 2
		"Torpedo" 60
		"Heavy Laser Turret" 4
		"Heavy Anti-Missile Turret" 2
		
		"Fusion Reactor"
		"LP144a Battery Pack"
		"D94-YV Shield Generator"
		"Large Radar Jammer"
		"Ramscoop"
		"Laser Rifle" 15
		
		"X4700 Ion Thruster"
		"X5200 Ion Steering"
		"Hyperdrive"
		
	engine 18.5 232
	engine -15 232
	gun -9 -231.5 "Torpedo Launcher"
	gun 13.5 -231.5 "Torpedo Launcher"
	gun 36.5 -197 "Sidewinder Missile Launcher"
	gun 42 -193 "Sidewinder Missile Launcher"
	turret 37 -132.5 "Heavy Anti-Missile Turret"
	turret -39 -39 "Heavy Laser Turret"
	turret 31.5 -26 "Heavy Laser Turret"
	turret -42.5 75 "Heavy Laser Turret"
	turret 32.5 132 "Heavy Laser Turret"
	turret -33.5 192.5 "Heavy Anti-Missile Turret"
	bay "Fighter" -43.5 -125
	bay "Fighter" 53 -72.5
	bay "Fighter" -50 103.5
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
	bay "Jenkins" 0 0
