# Copyright (c) 2022 by Michael Arsollon
# derived from original game at https://github.com/endless-sky/endless-sky
#
# Endless Sky is free software: you can redistribute it and/or modify it under the
# terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later version.
#
# Endless Sky is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
# PARTICULAR PURPOSE.  See the GNU General Public License for more details.



# outfits derived from Endless Sky Pull Request #4987
# Copyright: Michael Arsollon
# License: GPL-3+
# Comment: Derived from works by Nomadic Volcano (under the same license) and Michael Zahniser (under the same license).



outfit "Korath Electro Shocker"
	category "Guns"
	cost 419000
	thumbnail "outfit/Midnight PR4987 korath shocker"
	"mass" 23
	"outfit space" -23
	"weapon capacity" -23
	"gun ports" -1
	"energy capacity" 190
	weapon
		sprite "projectile/Midnight shocker"
			"frame rate" 11
		sound "ion"
		"hit effect" "ion impact" 
		"inaccuracy" 0.4
		"velocity" 12
		"lifetime" 90
		"reload" 40
		"acceleration" 1
		"drag" .1
		"turn" 1.35
		"homing" 4
		"tracking" 0.8
		"firing energy" 190
		"firing heat" 210
		"shield damage" 140
		"hull damage" 45
		"ion damage" 3
	description `The Korath Shocker is designed to incapacitate small vessels long enough for a Korath mothership to disable and pillage them.`



outfit "Korath Shocker Turret"
	category "Turrets"
	cost 509000
	thumbnail "outfit/Midnight PR4987 korath heavy shock turret"
	"mass" 57
	"outfit space" -57
	"weapon capacity" -57
	"turret mounts" -1
	"required crew" 1
	"energy capacity" 190
	weapon
		sprite "projectile/Midnight shocker"
			"frame rate" 11
		"hardpoint sprite" "hardpoint/Midnight korath shocker turret"
		sound "ion"
		"hit effect" "ion impact" 
		"turret turn" 3.6
		"inaccuracy" 0.2
		"velocity" 12
		"lifetime" 90
		"reload" 40
		"acceleration" 1
		"drag" .1
		"turn" 1.35
		"homing" 4
		"tracking" 0.8
		"firing energy" 190
		"firing heat" 210
		"shield damage" 140
		"hull damage" 45
		"ion damage" 3
	description `This turret rapidly drains its target's energy reserves. If it doesn't have the generator capacity to spare, the unfortunate target may soon be stripped bare by a Korath raiding party.`



outfit "Korath Shock-Strike"
	category "Turrets"
	cost 1075500
	thumbnail "outfit/Midnight PR4987 shunt-strike"
	"mass" 75
	"outfit space" -75
	"weapon capacity" -75
	"turret mounts" -1
	"required crew" 1
	"energy capacity" 100
	weapon
		sprite "projectile/Midnight shock strike"
			"frame rate" 25
			"random start frame"
		"hardpoint sprite" "hardpoint/Midnight korath shock-strike"
		"hardpoint offset" 7.
		sound "grab-strike"
		"hit effect" "ion impact"
		"inaccuracy" 1
		"turret turn" 2.4
		"velocity" 10
		"lifetime" 100
		"reload" 20
		"firing energy" 190
		"firing heat" 210
		"acceleration" 1
		"drag" .1
		"turn" .2
		"homing" 4
		"tracking" .7
		"shield damage" 140
		"hull damage" 45
		"hit force" -160
		"ion damage" 3
	description "This weapon adds an ionic charge to Korath Grab-Strike projectiles, further incapacitating the targeted ship to prevent it from escaping."



outfit "Korath Waste"
	category "Ammunition"
	cost -2000
	thumbnail "outfit/korath waste"
	"mass" .0625
	"korath waste capacity" -1
	description "This irradiated industrial waste is a byproduct of Korath manufacturing processes."

outfit "Korath Waste Launcher"
	category "Secondary Weapons"
	cost 393000
	thumbnail "outfit/PR4987 shunt bomb launcher"
	"mass" 11
	"outfit space" -17
	"weapon capacity" -17
	"energy capacity" 50
	"gun ports" -1
	"korath waste capacity" 96
	"integrated systems" 1
	"reinstall" -1
	weapon
		sprite "projectile/korath waste launcher"
			"frame rate" 7
		sound "minelayer"
		icon "icon/Midnight korath waste"
		ammo "Korath Waste"
		"hit effect" "large explosion"
		"submunition" "Korath Waste Submunition" 15
		"inaccuracy" 1
		"velocity" 5
		"lifetime" 10
		"reload" 90
		"firing energy" 36
		"firing heat" 107
	description "The factories on larger Korath world ships produce a tremendous amount of waste. This weapon takes the most dangerous irradiated waste and fires it as a projectile that is very effective against shields."

outfit "Korath Waste Submunition"
	weapon
		sprite "projectile/korath waste"
			"frame rate" 1
			"no repeat"
		"hit effect" "small explosion"
		"die effect" "Midnight korath waste" 20
		"inaccuracy" 360
		"velocity" 5
		"random velocity" 20
		"lifetime" 2000
		"random lifetime" 120
		"acceleration" .00001
		"drag" .05
		"shield damage" 30
		"hull damage" 10
		"missile strength" 22

effect "Midnight korath waste"
	sprite "effect/Midnight korath waste"
		"no repeat"
		"frame rate" 10
		"random start frame"
	"lifetime" 61
	"random angle" 20
	"random velocity" 1
	"random spin" 5


outfit "Fuel Refiner"
	category "Systems"
	cost 1000000
	thumbnail "outfit/Midnight PR4987 korath fuel stack"
	"mass" 35
	"outfit space" -35
	"fuel capacity" 600
	"ramscoop" 6
	description "The Korath developed this giant fuel processor for capital ships that carry many of their fuel-guzzling outfits. It maintains a negative vacuum pressure, pulling gas into the ramscoops faster than a fuel processor would alone."



outfit "Korath Defense Drone"
	category "Hand to Hand"
	cost 106000
	thumbnail "outfit/Midnight PR4987 korath probe"
	"capture defense" 4.8
	"unplunderable" 1
	description "These flying defense drones are released when intruders board the ship. Once one intruder has been neutralized, a laser emitter with a 360 degree firing arc allows it to quickly switch targets without having to pause to reorient itself."
