outfit "Flak Cannon"
	category "Turrets"
	cost 150000
	thumbnail "outfit/mod blaster turret"
	"mass" 25
	"outfit space" -25
	"weapon capacity" -25
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/particle beam"
		sound "mod blaster"
		"cluster"
		"hit effect" "small explosion"
		"inaccuracy" 10
		"velocity" 15
		"lifetime" 60
		"reload" 20
		"burst count" 10
		"burst reload" 10
		"firing energy" 30
		"firing heat" 55
		"blast radius" 50
		"shield damage" 20
		"hull damage" 20
	description "This is a anti figher weapon."
