# ----------
#   GALAXY  
# ----------

galaxy "label omnis"
	sprite "label/omnis"
	pos -110 -9880

# -------------
#   INHABITED 
# -------------

system "Omnis"
	pos 0 -10000
	government "cheat"
	link "Sheragi"

	object "omnis gateway"
			sprite "sprite/wisp_green"

	object "Vanilla"
		sprite "sprite/station8"
		distance 444
	object "Persons"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Plugins"
		sprite "sprite/station8"
		distance 444
		offset 180
	object "Deprecated"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Everything"
		sprite "sprite/everything"
		distance 1218
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 20
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 40
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 60
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 80
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 100
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 120
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 140
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 160
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 180
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 200
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 220
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 240
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 260
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 280
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 300
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 320
	object "Everything"
		sprite "sprite/everything"
		distance 1218
		offset 340


system "Sheragi"
	pos 0 -10050
	government "cheat"
	link "Omnis"
	link "Human"
	link "Hai"
	link "Remnant"

	object "sheragi gateway"
		sprite "sprite/wisp_green"
			
	object "Sheragi Plugins"
		sprite "sprite/station8"
