outfit "Pug Beam"
	category "Guns"
	cost 60000
	thumbnail "outfit/heavy laser"
	"mass" 15
	"outfit space" -15
	"weapon capacity" -15
	"gun ports" -1
	weapon
		sprite "projectile/heavy laser"
			"frame rate" 1
		sound "heavy laser"
		"hit effect" "heavy laser impact"
		"inaccuracy" .4
		"velocity" 400
		"lifetime" 1
		"reload" 1
		"firing energy" 1.1
		"firing heat" 2.4
		"shield damage" 1.65
		"hull damage" 2.1
	description "The Pug Beam is the primary offensive weapon used by their smaller ships. The engineers of the Deep are barely able to understand how it functions but fortunately know enough to produce their own version, albeit rudimentary."
