outfit Supersystem
	category Systems
	plural "Jump Drives"
	cost 1000000
	thumbnail "outfit/jump drive"
	"mass" 20
	"outfit space" -50
	"shield generation" 5
	"energy generation" 100
	"thrust" 3
	"turn" 50
	"jump drive" 10
	"jump speed" 100
	"jump fuel" 0.1
	"gun ports" -1
	weapon
		sprite projectile/teardrop
			scale 0.1
			rewind
		"velocity" 100
		"random velocity" 10
		lifetime 100
		"random lifetime" 10
		"acceleration" 10
		"firing energy" 10
		"firing force" 0.1
		"drag" 1
		"shield damage" 200
		"hull damage" 160
		"ion damage" 10
	description "The Supersystem is a Jump Drive, a very damaging cannon, and everything a ship needs."
