outfit "Mega Quad Blaster Turret"
	category Turrets
	cost 2300000
	thumbnail "outfit/quad blaster turret"
	"mass" 100
	"outfit space" -100
	"weapon capacity" -100
	"required crew" 5
	"turret mounts" -1
	weapon
		sprite projectile/blaster
		"hardpoint sprite" "hardpoint/quad blaster turret"
		"hardpoint offset" 9
		sound blaster
		"hit effect" "blaster impact"
		"inaccuracy" 3
		"turret turn" 2.1
		"velocity" 18.625
		lifetime 48
		"reload" 3
		"firing energy" 58
		"firing heat" 50
		"shield damage" 69
		"hull damage" 51
	description "This is simply a massive blaster turret used by the Alphas in their alien ships."

