outfit "Plasma Turret (Single)"
	category "Turrets"
	cost 216000
	thumbnail "outfit/plasma turret single"
	"mass" 35
	"outfit space" -35
	"weapon capacity" -35
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/plasma"
			"frame rate" 3
		"hardpoint sprite" "hardpoint/plasma turret single"
		"hardpoint offset" 14
		sound "plasma"
		"hit effect" "plasma explosion"
		"inaccuracy" 2
		"turret turn" 2.3
		"velocity" 12
		"lifetime" 40
		"reload" 18
		"firing energy" 30
		"firing heat" 180
		"hit force" 45
		"shield damage" 63
		"hull damage" 25
		"heat damage" 340
	description "The Single Plasma Turret is one plasma cannon mounted on a turret to fire in any direction. While not as powerful as the dual Plasma Turret, it is able to fit on much smaller ships."
