outfit "FOE: Laser Sight"
	"display name" "Laser Sight"
	category "Guns"
	series "Guns"
	index 01049
	cost 26000
	thumbnail "outfit/lasersight"
	"mass" 5
	"outfit space" -5
	"weapon capacity" -5
	"gun ports" -1
#	"optical jamming" 5
	weapon
		sprite "projectile/lasersight"
		sound "lasersight"
		"hit effect" "lasersight impact"
		"inaccuracy" .1
		"velocity" 2400
		"lifetime" 1
		"reload" 1
		"firing energy" 0.85
		"firing heat" 2.05
		"shield damage" 0.02
		"hull damage" 0.025
	description "A long range laser that does almost no damage but is used for target acquisition instead. Initially should have also the side effect to partly blind an opponent's optical tracking systems, but well, that did not work out because of things breaking the fourth wall if explaining them."

effect "lasersight impact"
	sprite "effect/lasersight impact"
		"no repeat"
		"frame rate" 12
		"scale" 0.25
	"lifetime" 10
	"random angle" 180
	"velocity scale" 0.
