
# Thrusters
outfit "Asutur Thruster" #Masta
	category "Engines"
	"cost" 50000
	thumbnail "outfit/qoro m engine"
	"mass" 14
	"outfit space" -14
	"engine capacity" -14
	"thrust" 6.5
	"thrusting energy" .9
	"thrusting heat" 1
	"slowing resistance" .5
	"slowing resistance energy" .3
	"flare sprite" "effect/qoro flare/tiny"
		"frame rate" 10
	"flare sound" "seeker"
	description "Makau A Qoro tiny thruster."
	
outfit "Eensura Thruster" #Maseen
	category "Engines"
	"cost" 106000
	thumbnail "outfit/qoro m engine"
	"mass" 24
	"outfit space" -24
	"engine capacity" -24
	"thrust" 15.8
	"thrusting energy" 1.7
	"thrusting heat" 2
	"slowing resistance" .5
	"slowing resistance energy" .3
	"flare sprite" "effect/qoro flare/small"
		"frame rate" 10
	"flare sound" "seeker"
	description "Makau A Qoro small thruster."
	
outfit "Maseka Thruster" 
	category "Engines"
	"cost" 210000
	thumbnail "outfit/qoro m engine"
	"mass" 42
	"outfit space" -42
	"engine capacity" -42
	"thrust" 32.7
	"thrusting energy" 2.3
	"thrusting heat" 4.3
	"slowing resistance" .55
	"slowing resistance energy" .35
	"flare sprite" "effect/qoro flare/medium"
		"frame rate" 10
	"flare sound" "seeker"
	description "Makau A Qoro medium thruster."
	
outfit "Otsarui Thruster" #Masenta
	category "Engines"
	"cost" 408000
	thumbnail "outfit/qoro m engine"
	"mass" 80
	"outfit space" -80
	"engine capacity" -80
	"thrust" 68.9
	"thrusting energy" 3.9
	"thrusting heat" 7.4
	"slowing resistance" .6
	"slowing resistance energy" .4
	"flare sprite" "effect/qoro flare/big"
		"frame rate" 10
	"flare sound" "seeker"
	description "Makau A Qoro large thruster."
	
outfit "Sokenue Thruster" #Masokae
	category "Engines"
	"cost" 8050000
	thumbnail "outfit/qoro m engine"
	"mass" 156
	"outfit space" -156
	"engine capacity" -156
	"thrust" 158.8
	"thrusting energy" 6.8
	"thrusting heat" 15.2
	"slowing resistance" .7
	"slowing resistance energy" .5
	"flare sprite" "effect/qoro flare/huge"
		"frame rate" 10
	"flare sound" "seeker"
	description "Makau A Qoro huge thruster."
	
# Steering
outfit "Asutur-ian Steering"
	category "Engines"
	"cost" 36000
	thumbnail "outfit/qoro m steering"
	"mass" 10
	"outfit space" -10
	"engine capacity" -10
	"turn" 250
	"turning energy" .4
	"turning heat" .5
	
outfit "Eensura-ian Steering"
	category "Engines"
	"cost" 70000
	thumbnail "outfit/qoro m steering"
	"mass" 20
	"outfit space" -20
	"engine capacity" -20
	"turn" 550
	"turning energy" .8
	"turning heat" 1

outfit "Maseka-ian Steering"
	category "Engines"
	"cost" 135000
	thumbnail "outfit/qoro m steering"
	"mass" 39
	"outfit space" -39
	"engine capacity" -39
	"turn" 1200
	"turning energy" 1.4
	"turning heat" 2
	
outfit "Otsarui-ian Steering"
	category "Engines"
	"cost" 260000
	thumbnail "outfit/qoro m steering"
	"mass" 78
	"outfit space" -78
	"engine capacity" -78
	"turn" 2400
	"turning energy" 2.8
	"turning heat" 3.8
	
outfit "Sokenue-ian Steering"
	category "Engines"
	"cost" 500000
	thumbnail "outfit/qoro m steering"
	"mass" 100
	"outfit space" -100
	"engine capacity" -100
	"turn" 3610
	"turning energy" 4.9
	"turning heat" 5.46
	
# Guns
outfit "Mas-Senkai Gun"
	category "Guns"
	cost 200000
	thumbnail "outfit/qoro m senkai gun"
	mass 23
	"outfit space" -23
	"weapon capacity" -23
	"gun ports" -1
	weapon
		sprite "projectile/senkai"
			"frame rate" 3
		sound "gw egun"
		"hit effect" "skylance impact"
		"inaccuracy" .5
		"velocity" 20
		"lifetime" 34
		"reload" 10
		"firing energy" 30
		"firing heat" 4
		"shield damage" 26
		"hull damage" 58
		"heat damage" 5
	description "A Makau Qoro gun. Usually found along side with Mase-Dettai to take down the enemy armor."
		
outfit "Mase-Dettai Laser"
	category "Guns"
	cost 1473000
	thumbnail "outfit/qoro m mase dettai"
	"mass" 11
	"outfit space" -11
	"weapon capacity" -11
	"gun ports" -1
	weapon
		sprite "projectile/slicer"
			"frame rate" 2
		sound "slicer"
		"hit effect" "slicer impact"
		"inaccuracy" 1
		"velocity" 520
		"lifetime" 1
		"reload" 1
		"firing energy" 2
		"firing heat" .4
		"shield damage" 3.2
		"hull damage" .82
	description "Makau Qoro laser for tearing down shields."
		
outfit "Masai-kem Missile Defence" #Dunno tf is this.
	category "Guns"
	cost 835000
	thumbnail "outfit/medium shield"
	"mass" 28
	"outfit space" -28
	"weapon capacity" -28
	"energy capacity" 50
	"gun ports" -1
	weapon
		"fire effect" "masai fire"
		"anti-missile" 22
		"velocity" 330
		"lifetime" 1
		"reload" 1.3
		"firing energy" 50
		"firing heat" 19
	description "Northen Qoro's Missile Defence module"
		
# Turrets
outfit "Masai-mei Missile Defence"
	category "Turrets"
	cost 845000
	thumbnail "outfit/medium shield"
	"mass" 28
	"outfit space" -28
	"weapon capacity" -28
	"energy capacity" 50
	"turret mounts" -1
	weapon
		"fire effect" "masai fire"
		"anti-missile" 5
		"turret turn" 20
		"velocity" 330
		"lifetime" 1
		"reload" 1.3
		"firing energy" 15
