

#=======================WEapons
	
outfit "Klingar Laser" #E10-B 
	category "Guns"
	cost 3500000
	thumbnail "outfit/dels ukar3"
	"mass" 20
	"outfit space" -20
	"weapon capacity" -20
	"gun ports" -1
	weapon
		sprite "projectile/electron"
		sound "gw laser5"
		"hit effect" "electron impact"
		"fire effect" "electron impact"
		"inaccuracy" .1
		"velocity" 450
		"lifetime" 1
		"reload" 1
		"firing energy" 6.9
		"firing heat" 2.8
		"shield damage" 10
		"hull damage" 10
		"hit force" 5
	description "Wallagi Laser."
	
outfit "Semfal Torpedo" #T30-E 
	category "Guns"
	cost 8000000
	thumbnail "outfit/wallagi semfal torpedo"
	"mass" 40
	"outfit space" -40
	"weapon capacity" -40
	"gun ports" -1
	weapon
		sprite "projectile/ion bolt"
		sound "gw energylauncher"
		"hit effect" "ion spark"
		"inaccuracy" 1
		"velocity" 25
		"lifetime" 500
		"reload" 100
		"firing energy" 700
		"firing heat" 10
		"acceleration" 2.2 
		"drag" .07
		"optical tracking" .6
		"turn" 3
		"homing" 2
		"shield damage" 980
		"hull damage" 600
		"hit force" 12
		"missile strength" 34
		"ion damage" 1
	description "Wallagi Ion torpedo"
	
outfit "Sesmal Torpedo" #T70-E 
	category "Guns"
	cost 45000000
	thumbnail "outfit/wallagi semfal torpedo"
	"mass" 120
	"outfit space" -120
	"weapon capacity" -120
	"gun ports" -1
	weapon
		sprite "projectile/ion bolt"
		sound "gw energylauncher"
		"hit effect" "ion spark"
		"inaccuracy" 1
		"velocity" 9
		"lifetime" 550
		"reload" 150
		"firing energy" 1300
		"firing heat" 48
		"acceleration" .1
		"drag" .01
		"optical tracking" .8
		"turn" 5
		"homing" 3
		"shield damage" 6220
		"hull damage" 1500
		"hit force" 34
		"missile strength" 65
		"ion damage" 4
	description "Wallagi large ion torpedo"
	
outfit "Lemtar Turret" #P50-B 
	category "Turrets"
	cost 5200000
	thumbnail "outfit/wallagi lemtar turret"
	"mass" 50
	"outfit space" -50
	"weapon capacity" -50
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/ion bolt"
			"frame rate" 3
		sound "gw energy2"
		"hardpoint sprite" "hardpoint/heavy anti-missile"
		"hardpoint offset" 5.
		"hit effect" "plasma explosion"
		"inaccuracy" 3
		"turret turn" 2
		"velocity" 40
		"lifetime" 30
		"reload" 12
		"firing energy" 60
		"firing heat" 8
		"shield damage" 380
		"hull damage" 140
		"ion damage" .5
	description "Wallagi turret"
	
outfit "Marley Turret" #P50-B 
	category "Turrets"
	cost 8400000
	thumbnail "outfit/wallagi lemtar turret"
