### GUNS
# 	Twin Mandible Cannon



### GUNS
# 	Twin Mandible Cannon

outfit "KGS Twin Mandible Cannon"
	"display name" "Twin Mandible Cannon"
	category "Guns"
	series "Guns"
	index 10020
	cost 2500000
	thumbnail "outfit/kgs_twin_mandible_cannon"
	"mass" 62
	"outfit space" -62
	"weapon capacity" -62
	"gun ports" -1
	weapon
		sprite "projectile/mandible cannon"
			"frame rate" 10
			"random start frame"
		sound "mandible cannon"
		"hit effect" "proton impact"
		"inaccuracy" .1
		"velocity" 34
		"lifetime" 25
		"reload" 15
		"burst reload" 5
		"burst count" 2
		"firing energy" 111
		"firing force" 30
		"firing heat" 60
		"hit force" 210
		"shield damage" 152
		"hull damage" 98
	description "These two Mandible Cannons have been bolted together, creating a devastating long range weapon."
