### GUNS
# 	Hyperpulse Cannon
# 	Bipulse Ripper
### SECONDARY WEAPONS
# 	Twin Railgun
# 	Triple Railgun
# 	Quad Railgun
# 	2x3 Railgun
# 	3x3 Railgun
# 	3x4 Railgun
# 	4x4 Railgun
# 	4x5 Railgun



### GUNS
# 	Hyperpulse Cannon
# 	Bipulse Ripper

outfit "KGS Hyperpulse Cannon"
	"display name" "Hyperpulse Cannon"
	category "Guns"
	series "Guns"
	index 02010
	cost 210000
	thumbnail "outfit/kgs_hyperpulse_cannon"
	"mass" 20
	"outfit space" -20
	"weapon capacity" -20
	"gun ports" -1
	weapon
		sprite "projectile/kgs_hyperpulse"
		sound "pulse"
		"hit effect" "kgs hyperpulse impact"
		"inaccuracy" .5
		"velocity" 25
		"lifetime" 22
		"reload" 30
		"firing energy" 64
		"firing heat" 170
		"firing force" 18
		"shield damage" 100
		"hull damage" 72
	description "The Hyperpulse Cannon is a more recent development of the Hai, a Pulse Cannon adapted to fire projectiles with much higher velocity, accuracy, and damage."

effect "kgs hyperpulse impact"
	sprite "effect/pulse impact"
		"scale" 2
		"no repeat"
		"frame rate" 10
	"lifetime" 20
	"random angle" 360
	"random spin" 4
	"random velocity" .6
	"velocity scale" -.1


outfit "KGS Bipulse Ripper"
	"display name" "Bipulse Ripper"
	category "Guns"
	series "Guns"
	index 02010
	cost 300000
	thumbnail "outfit/kgs_bipulse_ripper"
	"mass" 28
	"outfit space" -28
	"weapon capacity" -28
	"gun ports" -1
	weapon
		sprite "projectile/pulse"
		sound "pulse"
		"hit effect" "pulse impact"
		"inaccuracy" 1
		"velocity" 15
		"lifetime" 30
		"reload" 10
		"firing energy" 24
		"firing heat" 70
		"shield damage" 45
		"hull damage" 34
	description "The Unfettered have joined two Pulse Cannons, resulting in an effective and efficient weapon."



### SECONDARY WEAPONS
# 	Twin Railgun
# 	Triple Railgun
# 	Quad Railgun
# 	2x3 Railgun
# 	3x3 Railgun
# 	3x4 Railgun
# 	4x4 Railgun
# 	4x5 Railgun

outfit "KGS Twin Railgun"
	"display name" "Twin Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 45000
	thumbnail "outfit/kgs_twin_railgun"
	"mass" 3
	"outfit space" -9
	"weapon capacity" -9
	"gun ports" -1
	"railgun slug capacity" 2000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 6
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "The twin Skipper Railgun is favored by pilots who appreciate the ion and scrambling damage of the regular Skipper Railgun, but find it too small for use on ships larger than a drone."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS Triple Railgun"
	"display name" "Triple Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 70000
	thumbnail "outfit/kgs_triple_railgun"
	"mass" 4
	"outfit space" -13
	"weapon capacity" -13
	"gun ports" -1
	"railgun slug capacity" 3000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 4
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "This weapon is, quite simply, the internals of three Skipper Railguns in a larger frame."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS Quad Railgun"
	"display name" "Quad Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 100000
	thumbnail "outfit/kgs_quad_railgun"
	"mass" 6
	"outfit space" -18
	"weapon capacity" -18
	"gun ports" -1
	"railgun slug capacity" 4000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 3
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "Many captains have seen the power of the Skipper Railgun, and wanted a version fit for use on larger ships. This is the result - four Skipper Railguns in a larger housing. The recoil is intense."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS 2x3 Railgun"
	"display name" "2x3 Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 150000
	thumbnail "outfit/kgs_2x3_railgun"
	"mass" 9
	"outfit space" -27
	"weapon capacity" -27
	"gun ports" -1
	"railgun slug capacity" 6000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 2
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "The recoil from this weapon probably renders reverse thrusters unnecessary."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS 3x3 Railgun"
	"display name" "3x3 Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 225000
	thumbnail "outfit/kgs_3x3_railgun"
	"mass" 13
	"outfit space" -40
	"weapon capacity" -40
	"gun ports" -1
	"railgun slug capacity" 9000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 1.333333
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "Only the most deranged of captains use these."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS 3x4 Railgun"
	"display name" "3x4 Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 300000
	thumbnail "outfit/kgs_3x4_railgun"
	"mass" 16
	"outfit space" -52
	"weapon capacity" -52
	"gun ports" -1
	"railgun slug capacity" 12000
	weapon
		sprite "projectile/rail slug"
			"frame rate" 30
		ammo "Railgun Slug"
		icon "icon/rail gun"
		sound "ion impact"
		"fire effect" "rail sparks"
		"hit effect" "bullet impact"
		"inaccuracy" 3
		"velocity" 44
		"lifetime" 1
		"range override" 2100
		"reload" 1
		"firing energy" 3.5
		"firing heat" 7.2
		"firing force" 105
		"stream"
		"submunition" "rslug" 1
	description "The few captains who use these swear that flying backwards with them make engines unnecessary."
	description "	Ammunition for this weapon can be restocked at any outfitter."
		to display
			has "gamerule: universal ammo restocking"

outfit "KGS 4x4 Railgun"
	"display name" "4x4 Skipper Railgun"
	category "Secondary Weapons"
	series "Secondary Weapons"
	index 02020
	cost 300000
	thumbnail "outfit/kgs_4x4_railgun"
	"mass" 21
	"outfit space" -69
	"weapon capacity" -69
	"gun ports" -1
