# LEESt: The world's greatest Endless Sky plugin.
# Copyright (C) 2021-2024 Lemuria

# This program is free software: you can redistribute it and/or modify it under the terms of the GNU
# General Public License as published by the Free Software Foundation, either version 3 of the
# License, or (at your option) any later version.

# This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without
# even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU
# General Public License for more details.

# You should have received a copy of the GNU General Public License along with this program.
# If not,see <https://www.gnu.org/licenses/>.

# Lemuria is contactable in the Endless Sky discord server
# as Lemuria#0685. Invite: https://discord.gg/ZeuASSx

outfit "SPA Skylance"
	category "Turrets"
	cost 24000000
	thumbnail "outfit/quarg skylance"
	"mass" 50
	"outfit space" -50
	"weapon capacity" -50
	"turret mounts" -1
	"required crew" 1
	licenses
		"SPA Outfit"
	weapon
		sprite "projectile/skylance"
			"frame rate" 1
		"hardpoint sprite" "hardpoint/quarg skylance"
		"hardpoint offset" 10
		sound "skylance"
		"hit effect" "skylance impact"
		"inaccuracy" .8
		"turret turn" 3.7
		"velocity" 500
		"lifetime" 1
		"reload" 1
		"firing energy" 21.18
		"firing heat" 15
		"shield damage" 31.17
		"hull damage" 37.97
		"ion damage" .1
	description "These immensely powerful beam weapons are used by Quarg warships to strike fear into the hearts of all who dare oppose them."
	description "After the disappearance of several SPA agents equipped with Skylances after landing on a Quarg ringworld, the SPA created a slightly different version of the Skylance, which would hopefully be undetectable."
