# LEESt: The world's greatest Endless Sky plugin.
# Copyright (C) 2021-2024 Lemuria

# This program is free software: you can redistribute it and/or modify it under the terms of the GNU
# General Public License as published by the Free Software Foundation, either version 3 of the
# License, or (at your option) any later version.

# This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without
# even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU
# General Public License for more details.

# You should have received a copy of the GNU General Public License along with this program.
# If not,see <https://www.gnu.org/licenses/>.

# Lemuria is contactable in the Endless Sky discord server
# as Lemuria#0685. Invite: https://discord.gg/ZeuASSx

outfit "Ship Sniper"
	category "Guns"
	cost 4000000
	"mass" 5
	"outfit space" -40
	"weapon capacity" -40
	"gun ports" -1
	weapon
		sprite "projectile/torpedo"
			"frame rate" 2
			"random start frame"
		sound "torpedo"
		"hit effect" "torpedo hit"
		"inaccuracy" 0.02
		"velocity" 50
		"lifetime" 480
		"reload" 200
		"firing energy" 500
		"firing heat" 300
		"shield damage" 5000
		"hull damage" 6000
	description "The Ship Sniper is a prototype weapon capable of dealing immense damage to any ship unlucky enough to be hit by a Ship Sniper. It has a long reload time and uses up energy and emits immense heat every time it is fired."
