
effect "mgf explosion spark"
	sprite "effect/mgf explo spark"
		"frame rate" 50
	lifetime 14
	"random lifetime" 5
	"absolute velocity" 5
	"random velocity" 18
	"random angle" 360

outfit "MRF-10 EM Clamp"
	category "Guns"
	cost 12000
	thumbnail "outfit/unknown"
	"mass" 10
	"outfit space" -10
	"gun ports" -1
	weapon
		#sprite "projectile/atesac beam"
		sound "ion tiny"
		"velocity" 2
		"turret turn" 360
		"lifetime" 1
		"reload" 1
		"firing energy" .03
		"firing heat" .01
		"hit force" -20
		"blast radius" 5
		"safe"

outfit "F120 Mars Core"
	category "Power"
	cost 12000000
	thumbnail "outfit/fusion"
	"mass" 112
	"outfit space" -112
	"energy generation" 21.2
	"heat generation" 42
	"0NF overdrive port" 1
	description `New breakthrough in fusion technology as result of more funding see both reduction in size and improvement in efficiency in the latest reactor first deployed by the Navy.`
	
outfit "F230 Venus Core"
	category "Power"
	cost 14000000
	thumbnail "outfit/fusion"
	"mass" 123
	"outfit space" -123
	"energy generation" 23.55
	"heat generation" 45
	"0NF overdrive port" 1
	description `Bigger version of the Mars Core with better efficiency.`

outfit "F340 Earth Core"
	category "Power"
	cost 18000000
	thumbnail "outfit/fusion"
	"mass" 147
	"outfit space" -147
	"energy generation" 35.7
	"heat generation" 48
	"0NF overdrive port" 1
	description ``

outfit "F450 Neptune Core"
	category "Power"
	cost 22000000
	thumbnail "outfit/fusion"
	"mass" 195
	"outfit space" -195
	"energy generation" 42.4
	"heat generation" 51
	"0NF overdrive port" 2
	description `Neptune Core is part of the new generation of warship reactors made in various size to allow maximum flexibility when refitting ships. Larger of the cores can support up to two overdriver.`

outfit "F560 Uranus Core"
	category "Power"
	cost 25000000
	thumbnail "outfit/fusion"
	"mass" 242
	"outfit space" -242
	"energy generation" 52.9
	"heat generation" 56
	"0NF overdrive port" 2

outfit "0NF M3 Core Overdriver"
	category "Power"
	cost 5000000
	thumbnail "outfit/dwarf core"
	licenses
		Navy
	"mass" 12
	"outfit space" -12
	"energy generation" 14
	"heat generation" 68
	"cooling inefficiency" .1
	"0NF overdrive port" -1
	description `In order to meet the power requirement of the new weapons the Navy developed an addon to overdrive their new cores for significantly more power at cost of extreme amount of heat.`

outfit "MX30 Sirius Core"
	category "Power"
	cost 90000000
	thumbnail "outfit/core"
	"mass" 1352
	"outfit space" -1352
	"energy generation" 368
	"heat generation" 651
	"ion resistance" .1
	description "Massive experimental reactor designed specifically for the Lucerne Class Supercarrier."
	
outfit "MX32 Sirius II Core"
	category "Power"
	cost 94000000
	thumbnail "outfit/core"
	"mass" 1402
	"outfit space" -1402
	"energy generation" 399
	"heat generation" 685
	"ion resistance" .2
	description "A breakthrough in research enable a significant improvement to the Sirius Core resulting more power generated at greater efficiency and reliability."
	
outfit "CN729x Battery Pack"
	category "Power"
	cost 640000
	thumbnail "outfit/huge battery"
	"mass" 300
	"outfit space" -300
	"energy capacity" 163000
	description "A massive battery for massive ship with improved energy density over standard LP batteries by employing new technologies that was recently proven to be reliable enough for use in warships."
	
outfit "DX-10k Shield Hub"
	category "Systems"
	cost 1200000
	thumbnail "outfit/huge shield"
	"mass" 100
	"outfit space" -100
	"shield generation" 2.1
	"shield energy" 2.1
	"shield node" 4
	description "A smaller shield hub devloped for the new warships to provide improved shield generation over the old D94-YV."

outfit "DX-20k Shield Hub"
	category "Systems"
	cost 2600000
	thumbnail "outfit/huge shield"
	"mass" 200
	"outfit space" -200
	"shield generation" 4.3
	"shield energy" 4.3
	"shield node" 8
	description ""

outfit "DX-30k Shield Hub"
	category "Systems"
	cost 3800000
	thumbnail "outfit/huge shield"
	"mass" 300
	"outfit space" -300
	"shield generation" 6.7
	"shield energy" 6.7
	"shield node" 12
	description "A new technology of shield hub while not super efficient by itself it can support multiple shield nodes for maximum efficiency."
	
outfit "SX-12 Shield Node"
	category "Systems"
	cost 1200000
	thumbnail "outfit/medium shield"
	"mass" 60
	"outfit space" -60
	"shield generation" 3.65
	"shield energy" 3.65
	"shield node" -1
	description `A smaller shield generator that can be placed around the ship for maximum efficiency but requires a hub to power it.`

outfit "SX-6 Shield Node"
	category "Systems"
	cost 1200000
	thumbnail "outfit/medium shield"
	"mass" 30
	"outfit space" -30
	"shield generation" 1.8
	"shield energy" 1.8
	"shield node" -1
	description `A smaller shield node for smaller warships.`

outfit "NX-40k Repair Center"
	category "Systems"
	cost 3800000
	thumbnail "outfit/outfit expansion"
	"mass" 400
	"outfit space" -400
	"hull repair rate" 5.1
	"hull energy" 5.1
	"hull heat" 5.1
	"required crew" 25
	description "Central repair center equipped with various tools and supplies for repairing the ship in-flight."
	
outfit "SCE-3 Radar Jammer"
	category "Systems"
	cost 1280000
	licenses
		"Navy"
	thumbnail "outfit/large radar jammer"
	"mass" 62
	"outfit space" -62
	"radar jamming" 60
	description "Larger and more powerful radar jammer developed for the navy superheavy ships for better space efficiency."
	
outfit "H36B Helium Cooler"
	category "Systems"
	cost 600000
	thumbnail "outfit/liquid helium"
	"mass" 120
	"outfit space" -120
	"cooling" 255
	description "Larger and more efficient cooler specifically developed cooling system for large ships."
	
outfit "VYT Malebolge Core"
	category "Power"
	cost 55000000
	thumbnail "outfit/mgf malebolge core"
	"mass" 151
	"outfit space" -151
	"energy generation" 88
	"heat generation" 343
	"shield heat multiplier" 1
	"hull heat multiplier" 1
