# Copyright (c) 2014 by Michael Zahniser
#
# Endless Sky is free software: you can redistribute it and/or modify it under the
# terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later version.
#
# Endless Sky is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
# PARTICULAR PURPOSE.  See the GNU General Public License for more details.

#outfit "EPS Heat Sink"	
#outfit "Impulse Supercooler"
#outfit "EPS Supercooler"
#outfit "Subspace Heat Sink"
#outfit "Targeting Jammer"
#outfit "Heavy Targeting Jammer"

outfit "Warp Assembly"
	category "Systems"
	cost 70000
	thumbnail "outfit/hyperdrive"
	"mass" 20
	"outfit space" 0
	"jump speed" 1
	"hyperdrive" 1
	description "The warp assembly includes the warp core, warp coils, and all of the equipment in between."
	
outfit "Quantum Slipstream Drive"
	category "Systems"
	cost 900000
	thumbnail "outfit/hyperdrive"
	"mass" 30
	"outfit space" -30
	"scram drive" .2
	"hyperdrive" 1
	description "Quantum Slipstream Drives are mounted coaxial to warp cores and give ships the ability to travel exremely quickly through space by catapulting the ship into a quantum slipstream tunnel."

outfit "Transwarp Manifold"
	category "Systems"
	cost 1800000
	thumbnail "outfit/jump drive"
	"mass" 25
	"outfit space" -25
	"jump speed" .3
	"jump drive" 10
	description "Transwarp Coils sold by the federation are reversed engineered Borg technology, allowing ships to instantaneously jump from one point in space to another"

outfit "Antimatter Storage Pod"
	category "Systems"
	cost 20000
	thumbnail "outfit/fuel pod"
	"mass" 5
	"outfit space" -5
	"fuel capacity" 100
	description "Stores extra antimatter, allowing your warp core and warp drive to function for longer without refuelling"

outfit "Neutronium Plating"
	category "Systems"
	cost 75000
	thumbnail "outfit/interference plating"
	"mass" 10
	"outfit space" -5
	"scan interference" .75
	description "If you're in the habit of carrying illegal cargo or outfits, this plating increases the odds that a scan of your ship will fail to detect it. The more of these you install, the better your chances of evading detection. They won't keep anyone from noticing if you're flying an unlicensed ship, however."

outfit "Type 3 Phaser"
	category "Hand to Hand"
	cost 800
	thumbnail "outfit/laser rifle"
	"capture attack" .6
	"capture defense" .8
	"unplunderable" 1
	description "A Type 3 Phaser is a handheld phaser rifle with a multitude of settings. One of the best standard-issue federation handheld weapons"
	
outfit "Photon Grenades"
	category "Hand to Hand"
	cost 12000
	thumbnail "outfit/fragmentation grenades"
	"capture attack" 1.3
	"capture defense" .3
	"unplunderable" 1
	description "Photon Grenades are basically miniature handheld photon torpedoes. Throw them at someone and they cease to exist."
	
outfit "Force Field Generator"
	category "Hand to Hand"
	cost 76000
	thumbnail "outfit/security station"
	"capture defense" 3.4
	"unplunderable" 1
	description "A deflector shield generator specifically designed to block corridors with force fields."
	
outfit "Plasma Grenades"
	category "Hand to Hand"
	cost 92000
	thumbnail "outfit/nerve gas"
	"capture attack" 2.8
	"capture defense" .8
	"unplunderable" 1
	description "This is a highly volatile weapon for hand to hand combat when boarding an enemy ship. Because of their nasty habit of starting plasma fires, these are banned in most places."
	
