ship "Peacebringer"
	plural "Peacebringers"
	sprite "ship/Peacebringer"
	attributes
		category "Heavy Warship"
		"cost" 121000000
		"shields" 96800
		"hull" 68000
		"required crew" 126
		"bunks" 402
		"mass" 1215
		"drag" 4.5
		"heat dissipation" 0.96
		"fuel capacity" 2000
		"cargo space" 306
		"outfit space" 1940
		"weapon capacity" 670
		"engine capacity" 320
		"peacebringer upgrade slot" 6
		"cloak 0.03"
		"cloak energy" 4
		"cloak fuel" 0.4
		"ramscoop" 10
		"slow resistance" 120
		"leak resistance" 60
		"ion resistance" 120
		"piercing resistance" .2
		"shield generation" 2
		"shield energy" 1.6
		"hull repair rate" 2
		"hull energy" 2.4
		"tactical scan power" 84
		"asteroid scan power" 36
		"outfit scan power" 25
		"outfit scan efficiency" 12
		"unremovable" -1
		weapon
			"blast radius" 900
			"shield damage" 7400
			"hull damage" 3600
			"hit force" 1200
	outfits
		"Peacebringer Upgrade Hub"
		"Triple Plasma Core" 2

		"A865 Atomic Thruster" 2
		"A860 Atomic Steering" 2

		"Ember Tear"
	gun 0 0 "Ember Tear"

	description "The Peacebringer is a one of a kind ship, commissioned not for sport, nor in exchange for money, or any other material offering that could conceivably conceive any standard spacecraft into reality, but instead as a reparation to a remarkable individual who has woven together the failing strings of the galaxy with their bare hands; a gift to one who has saved humanity one or more times from an otherwise hopeless drive to extinction. It is tribute, to ensure that this individual, whoever they may be, can continue their extraordinary drive to keep the universe together."
	description "An assemblage of all known technologies advanced and arcane, the Peacebringer is the culmination of the most powerful technology obtainable from across human space, and even beyond; it is a product of countless years of work by the most talented individuals from across the galaxy. In humanity's eyes, it is the perfect warship. Powerful, well protected, impressively maneuverable--this borderline superweapon crosses all bounds and treads into the line of impossibility in every known field of research it is associated with."
	description "This ship has cloaking technology, ramscoops, a basic shield generator, and nanobots built into the hull; they cannot be removed from the Peacebringer."
	# This is a dev reminder/checklist of the Peacebringer's planned capabilities
