# Combined Engines

outfit "Reserve Compound Engines"
	category "Engines"
	"cost" 93000
	thumbnail "outfit/tiny korath thruster"
	"mass" 25
	"outfit space" -21
	"engine capacity" -12
	"thrust" 8.2
	"thrusting energy" 0.85
	"thrusting heat" 2.6
	"turn" 196.0
	"turning energy" 0.55
	"turning heat" 2.0
	"flare sprite" "effect/korath flare/tiny"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "A flexible, multi-directional implementation of the Thi-Ruun's compound engines, designed for use in small ships."
	
# Axle Engines
# These act as omnidirectional engines, but are limited to ships with the "primary axle" attribute.

outfit "Shipmaster Engine Duplex"
	category "Engines"
	"cost" 5409500
	thumbnail "outfit/large korath steering"
	"mass" 120
	"outfit space" -120
	"engine capacity" -120
	"primary axle" -2
	"thrust" 44.2
	"thrusting energy" 4.7
	"thrusting heat" 12.8
	"flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"flare sound" "plasma tiny"
	"reverse thrust" 44.2
	"reverse thrusting energy" 4.7
	"reverse thrusting heat" 12.8
	"reverse flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"reverse flare sound" "plasma tiny"
	"turn" 1228.4
	"turning energy" 3.02
	"turning heat" 8.96
	"steering flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"steering flare sound" "plasma tiny"
	description `Kiel-Ruun ships are designed with a main "axle" that allows them to redirect their engine's thrust towards the rear, front, or sides, affording Kiel-Ruun ships surprising mobility despite their weight. These large chambers are the workhorses of such a system, providing substantial mobility at the cost of being quite large and being unable to provide engine power without a main axle to direct their energy into.`


# Thrusters
# Power is extremely high for the engine space they use, but balanced by a higher mass/outfit cost.

outfit "Infantry Compound Thruster"
	category "Engines"
	"cost" 93000
	thumbnail "outfit/tiny thi compound thruster"
	"mass" 16
	"outfit space" -14
	"engine capacity" -8
	"thrust" 9.8
	"thrusting energy" 1.02
	"thrusting heat" 2.8
	"flare sprite" "effect/korath flare/tiny"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "Whereas most other races use large dedicated engine blocks, the Thi'Ruun instead use central management blocks in conjunction with dozens or hundreds of small propulsors located around the ship. This lightens the load on the engine block, but requires more general outfit space for all the extra infrastructure."
	
outfit "Artillery Compound Thruster"
	category "Engines"
	"cost" 197000
	thumbnail "outfit/small thi compound thruster"
	"mass" 35
	"outfit space" -32
	"engine capacity" -18
	"thrust" 18.2	
	"thrusting energy" 1.98
	"thrusting heat" 5.7
	"flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "Whereas most other races use large dedicated engine blocks, the Thi'Ruun instead use central management blocks in conjunction with dozens or hundreds of small propulsors located around the ship. This lightens the load on the engine block, but requires more general outfit space for all the extra infrastructure."

outfit "Emplacement Compound Thruster"
	category "Engines"
	"cost" 434000
	thumbnail "outfit/medium thi compound thruster"
	"mass" 70
	"outfit space" -65
	"engine capacity" -38
	"thrust" 39.2
	"thrusting energy" 4.4
	"thrusting heat" 12.4
	"flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "Whereas most other races use large dedicated engine blocks, the Thi'Ruun instead use central management blocks in conjunction with dozens or hundreds of small propulsors located around the ship. This lightens the load on the engine block, but requires more general outfit space for all the extra infrastructure."

outfit "Silo Compound Thruster"
	category "Engines"
	"cost" 890000
	thumbnail "outfit/large thi compound thruster"
	"mass" 110
	"outfit space" -104
	"engine capacity" -64
	"thrust" 65.2
	"thrusting energy" 7.5
	"thrusting heat" 21.1
	"flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "Whereas most other races use large dedicated engine blocks, the Thi'Ruun instead use central management blocks in conjunction with dozens or hundreds of small propulsors located around the ship. This lightens the load on the engine block, but requires more general outfit space for all the extra infrastructure."

outfit "Intercontinental Compound Thruster"
	category "Engines"
	"cost" 890000
	thumbnail "outfit/huge thi compound thruster"
	"mass" 210
	"outfit space" -194
	"engine capacity" -126
	"thrust" 130.2
	"thrusting energy" 14.6
	"thrusting heat" 41.4
	"flare sprite" "effect/korath flare/small"
		"frame rate" 8
	"flare sound" "plasma tiny"
	description "Despite the principle of Thi-Ruun engine blocks being formed of many smaller engines, the sub-engines for an engine block of this size exceed the size of some main thrusters of other species."

# Steering
	
outfit "Infantry Compound Steering"
	category "Engines"
	"cost" 82000
	thumbnail "outfit/tiny thi compound steering"
	"mass" 13
	"outfit space" -11
	"engine capacity" -6
	"turn" 230.0
	"turning energy" 0.58
	"turning heat" 1.8
