outfit "Railcannon"
	category "Turrets"
	cost 340000
	thumbnail "outfit/electron turret"
	"mass" 50
	"outfit space" -50
	"weapon capacity" -50
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/rail slug"
			"frame rate" 60
		sound "particle"
		"hit effect" "plasma explosion"
		"inaccuracy" 1
		"velocity" 30
		"lifetime" 50
		"reload" 30
		"burst count" 3
		"burst reload" 10
		"firing energy" 7
		"firing heat" 8
		"shield damage" 250
		"hull damage" 250
	description "This is Vile Corp's solution to the particle cannon, it is powerful and accurate, not to mention deadly"
