# category "outfit"
# outfitter "dun_empty"
# shipyard "dun_empty"
# outfit "Nanite Swarm Blue" | "energy generation" 0.1
# outfit "Nanite Swarm Purple" | "energy generation" 1
# outfit "Nanite Swarm Orange" | "energy generation" 10
# outfit "dun1_key_00"
# outfit "dun1_key_01"
# outfit "dun1_key_02"
# outfit "dun1_key_03"
# outfit "dun1_key_04"
# outfit "dun1_key_05"
# outfit "dun1_key_06"
# outfit "dun1_h2h_1" | "Plasma Lance" | "capture attack" 4.5 | "capture defense" 6.2
# outfit "dun1_h2h_2" | "Plasma Disruptor" | "capture attack" 6.4 | "capture defense" 6.3
# outfit "dun1_h2h_3" | "Plasmacaster" | "capture attack" 8.6 | "capture defense" 7.7
# outfit "dun1_h2h_4" | "Plasmastream" | "capture attack" 9.7 | "capture defense" 9.5
# outfit "dun1_rare_outfit_1" | "Helix Pulse" | "shield generation multiplier" 0.02
# outfit "dun1_rare_outfit_2" | "Helix Overframe" | "shield multiplier" 0.02
# outfit "dun1_rare_outfit_3" | "Grav Injector" | "hull repair multiplier" 0.02
# outfit "dun1_rare_outfit_4" | "Grav Weaver" | "hull multiplier" 0.02
# outfit "dun1_rare_outfit_5" | "Voidstream Actuators" | "turn multiplier" 0.02
# outfit "dun1_rare_outfit_6" | "Voidstream Replicator" | "acceleration multiplier" 0.02
# outfit "dun1_rare_outfit_7" | "Voidstream Interdictors" | "thrust" 1 | "reverse thrust" 1
# outfit "dun1_rare_outfit_8" | "Voidshell" | several status protections 0.02
# outfit "dun1_rare_outfit_9" | "Dimensional Storage" | "cargo space" 5
# outfit "dun1_rare_outfit_10" | "Dimensional Refrigerator" | "cooling" 5 | "heat dissipation" 0.0005
# outfit "dun1_rare_outfit_11" | "Spa'ark Plug" | "energy generation" 0.5
# outfit "dun1_rare_outfit_12" | "Spa'ark Cell" | "energy capacity" 1500
# outfit "dun1_rare_outfit_13" | "synthesizer" | "operating income" 1000
# effect "verdanite"
# minable "Verdanite"
# outfit "Verdanite"
# outfit "Replica Drak Cannon"



category "outfit"
	"Loot"

outfitter "dun_empty"

shipyard "dun_empty"

outfit "Nanite Swarm Blue"
	"display name" "Nanite Swarm Blue"
	category "Loot"
	series "Special Systems"
	index 99700
	thumbnail "outfit/nanites/naniteswarmblue"
	"unplunderable" 1
	"energy generation" 0.1
	cost 1000
	description `Upgrades a weapon outfit to T1 (120% damage).`

outfit "Nanite Swarm Purple"
	"display name" "Nanite Swarm Purple"
	category "Loot"
	series "Special Systems"
	index 99700
	thumbnail "outfit/nanites/naniteswarmpurple"
	"unplunderable" 1
	"energy generation" 1
	cost 10000
	description `Upgrades a weapon outfit from T1 to T2 (160% damage).`

outfit "Nanite Swarm Orange"
	"display name" "Nanite Swarm Orange"
	category "Loot"
	series "Special Systems"
	index 99700
	thumbnail "outfit/nanites/naniteswarmorange"
	"unplunderable" 1
	"energy generation" 10
	cost 100000
	description `Upgrades a weapon outfit from T2 to T3 (200% damage).`

outfit "dun1_key_00"
	"display name" "Emerald Code 0" 
	category "Keys"
	"Emerald Code 0" 1

outfit "dun1_key_01"
	"display name" "Emerald Key Code"
	"thumbnail" "outfit/dun1/dun1_key"
	category "Unique"
	"unique" 1
	"Emerald Code 1" 1

outfit "dun1_key_02"
	"display name" "Emerald Code 2"
	category "Keys"
	"Emerald Code 2" 1

outfit "dun1_key_03"
	"display name" "Emerald Code 3"
	category "Keys"
	"Emerald Code 3" 1

outfit "dun1_key_04"
	"display name" "Emerald Code 4"
	category "Keys"
	"Emerald Code 4" 1

outfit "dun1_key_05"
	"display name" "Emerald Code 5"
	category "Keys"
	"Emerald Code 5" 1

outfit "dun1_key_06"
	"display name" "Emerald Code 6"
	category "Keys"
	"Emerald Code 6" 1

outfit "dun1_h2h_1"
	"display name" "Plasma Lance"
	thumbnail "outfit/dun1/dun1_gun_01"
	"unplunderable" 1
	category "Loot"
	series "Special Systems"
	index 99750
	"capture attack" 4.5
	"capture defense" 6.2
	description `Reminiscent of the Korath, this weapon allows you to practically hold the sun within your hand. A great responsibility indeed.`

outfit "dun1_h2h_2"
	"display name" "Plasma Disruptor"
	thumbnail "outfit/dun1/dun1_gun_02"
	"unplunderable" 1
	category "Loot"
	series "Special Systems"
	index 99750
	"capture attack" 6.4
	"capture defense" 6.3
	description `Anyone lucky enough to be able to hold such a weapon would surely feel quite safe. And anyone not, likely feeling very unsafe.`

outfit "dun1_h2h_3"
	"display name" "Plasmacaster"
	thumbnail "outfit/dun1/dun1_automatic_01"
	"unplunderable" 1
	category "Loot"
	series "Special Systems"
	index 99750
	"capture attack" 8.6
	"capture defense" 7.7
	description `Almost like magic, this weapon provides astonishing power for something so small. Almost impossibly so. Yet, possible it remains.`

outfit "dun1_h2h_4"
	"display name" "Plasmastream"
	thumbnail "outfit/dun1/dun1_automatic_02"
	"unplunderable" 1
	category "Loot"
	series "Special Systems"
	index 99750
	"capture attack" 9.7
	"capture defense" 9.5
	description `Plasma is known to be an effective weapon of war, but none utilize it as well as this absurdity. If not for its small size, you almost wonder what kind of damage it could do to a ship directly.`

outfit "dun1_rare_outfit_1"
	"display name" "Helix Pulse"
