# planets: 488 - 15wormholes removed

# Builder(system Fereti)
planet "Parii'het"
	landscape "land/pariihet"

# Builder(system Giribea)
planet "Seli'het"
	landscape "land/selihet"

# Bunrodea (Guard)(system Bosuno Le)
planet "Bosunothro"
	landscape "land/bosunothro"

# Bunrodea (Guard)(system Bunri Lemeta)
planet "Bunthro"
	landscape "land/bunthro"

# Bunrodea (Guard)(system Erabu Lemeta)
planet "Erabuthro"
	landscape "land/erabuthro"

# Bunrodea (Guard)(system Eragaru Le)
planet "Eragarthro"
	landscape "land/eragarthro"

# Bunrodea (Guard)(system Avo Chigo)
planet "Illbo Avo"
	landscape "land/illboavo"

# Bunrodea (Guard)(system Jentu Le)
planet "Jentuthro"
	landscape "land/jentuthro"

# Bunrodea (Guard)(system Shini Bori)
planet "Sardva"
	landscape "land/sardva"

# Bunrodea (Guard)(system Thshybo Le)
planet "Thshybothro"
	landscape "land/thshybothro"

# Bunrodea(system Mego Inito)
planet "Angko"
	landscape "land/angko"

# Bunrodea(system Era Natta)
planet "Byruca"
	landscape "land/byruca"

# Bunrodea(system Mego Seo)
planet "Deli Kasi"
	landscape "land/delikasi"

# Bunrodea(system Mego Faro)
planet "Deli Kat"
	landscape "land/delikat"

# Bunrodea(system Piadenli)
planet "Disara"
	landscape "land/disara"

# Bunrodea(system Elabi Choati)
planet "Iddesato"
	landscape "land/iddesato"

# Bunrodea(system Elo Chigo)
planet "Illbo Elo"
	landscape "land/illboelo"

# Bunrodea(system Eneva Katta)
planet "Kalbai"
	landscape "land/kalbai"

# Bunrodea(system Kifrana Terberah)
planet "Kisarra"
	landscape "land/kisarra"

# Bunrodea(system Jentu Centi)
planet "Melenci"
	landscape "land/melenci"

# Bunrodea(system Urba Pest)
planet "Okoity"
	landscape "land/okoity"

# Bunrodea(system Sera Natta)
planet "Olohoa"
	landscape "land/olohoa"

# Bunrodea(system Ravu Kon)
planet "Sopoyra"
	landscape "land/sopoyra"

# Coalition(system Ablub)
planet "Ablub's Invention"
	landscape "land/ablubsinvention"

# Coalition(system Sol Arach)
planet "Ahr"
	landscape "land/ahr"

# Coalition(system 3 Axis)
planet "Ashy Reach"
	landscape "land/ashyreach"

# Coalition(system Blugtad)
planet "Bank of Blugtad"
	landscape "land/bankofblugtad"

# Coalition(system Belug)
planet "Belug's Plunge"
	landscape "land/belugsplunge"

# Coalition(system Bloptab)
planet "Bloptab's Furnace"
	landscape "land/bloptabsfurnace"

# Coalition(system Blubipad)
planet "Blubipad's Workshop"
	landscape "land/blubipadsworkshop"
