# With permission of Darcy Manoel image and stats of
# the "Shield Disruptor Gun" have been taken from
# https://github.com/DarcyManoel/Endless-Sky-Constellations

outfit "Shield Disruptor Gun"
	category "Guns"
	cost 697000
	thumbnail "outfit/disruptorGun"
	mass 23
	"outfit space" -23
	"weapon capacity" -23
	"gun ports" -1
	weapon
		sprite "projectile/disruptor"
			"frame rate" 15
		sound "disruptor"
		"hit effect" "disruptor impact"
		"inaccuracy" 1
		"velocity" 480
		"lifetime" 1
		"reload" 1
		"shield damage" 3.8
		"hull damage" .5
		"disruption damage" .24
		"firing energy" 8.0
		"firing heat" 2.7
	description "Shield Disruptors interfere with a ship's shields, allowing a ship's hull to be damaged even when shields are up. However, they do very little hull damage by themselves."
